id,team_name,country,logo,created_at
1,Ajax,Netherlands,image/ajax.png,2026-06-07 15:02:42.395639
2,Al_hilal,Saudi Arabia,image/Al_hilal.png,2026-06-07 15:02:42.395639
3,Always_Ready,Bolivia,image/Always_Ready.png,2026-06-07 15:02:42.395639
4,Apoel,Cyprus,image/Apoel.png,2026-06-07 15:02:42.395639
5,Aris,Cyprus,image/Aris.png,2026-06-07 15:02:42.395639
6,Arsenal,England,image/Arsenal.png,2026-06-07 15:02:42.395639
7,Athens,Greece,image/athens.png,2026-06-07 15:02:42.395639
8,Atlanta,Italy,image/atlanta.png,2026-06-07 15:02:42.395639
9,Atletico,Spain,image/atletico.png,2026-06-07 15:02:42.395639
10,AZ_Alkmaar,Netherlands,image/AZ_Alkmaar.png,2026-06-07 15:02:42.395639
11,Bayurn,Germany,image/bayurn.png,2026-06-07 15:02:42.395639
12,Benfica,Portugal,image/Benfica.png,2026-06-07 15:02:42.395639
13,Barcelon,Spain,image/barcelon.png,2026-06-07 15:02:42.395639
14,BodoGlimt,Norway,image/BodoGlimt.png,2026-06-07 15:02:42.395639
15,Brann,Norway,image/Brann.png,2026-06-07 15:02:42.395639
16,Celtic,Scotland,image/Celtic.png,2026-06-07 15:02:42.395639
17,Chelsea,England,image/Chelsea.png,2026-06-07 15:02:42.395639
18,Club_Brugge,Belgium,image/Club_Brugge.png,2026-06-07 15:02:42.395639
19,Copenhagen,Denmark,image/Copenhagen.png,2026-06-07 15:02:42.395639
20,Din_Zagreb,Croatia,image/Din_Zagreb.png,2026-06-07 15:02:42.395639
21,Dyn_Kyiv,Ukraine,image/Dyn_Kyiv.png,2026-06-07 15:02:42.395639
22,Ferencvaros,Hungary,image/Ferencvaros.png,2026-06-07 15:02:42.395639
23,Galatasaray,Turkey,image/Galatasaray.png,2026-06-07 15:02:42.395639
24,Hajduk_Split,Croatia,image/Hajduk_Split.png,2026-06-07 15:02:42.395639
25,Intermilan,Italy,image/intermilan.png,2026-06-07 15:02:42.395639
26,Juventus,Italy,image/juventus.png,2026-06-07 15:02:42.395639
27,Kuala_Lumpur,Malaysia,image/Kuala_Lumpur.png,2026-06-07 15:02:42.395639
28,Lask,Austria,image/lask.png,2026-06-07 15:02:42.395639
29,Lile,France,image/lile.png,2026-06-07 15:02:42.395639
30,Liverpool,England,image/liverpool.png,2026-06-07 15:02:42.395639
31,Ludogorets,Bulgaria,image/Ludogorets.png,2026-06-07 15:02:42.395639
32,Luverkoosen,Germany,image/luverkoosen.png,2026-06-07 15:02:42.395639
33,Maccabi_Haifa,Israel,image/Maccabi_Haifa.png,2026-06-07 15:02:42.395639
34,Maccabi_Tel_Aviv,Israel,image/Maccabi_Tel_Aviv.png,2026-06-07 15:02:42.395639
35,Madrid,Spain,image/madrid.png,2026-06-07 15:02:42.395639
36,Malmo,Sweden,image/Malmo.png,2026-06-07 15:02:42.395639
37,Midtjylland,Denmark,image/Midtjylland.png,2026-06-07 15:02:42.395639
38,Napoli,Italy,image/Napoli.png,2026-06-07 15:02:42.395639
39,Nordsjaelland,Denmark,image/Nordsjaelland.png,2026-06-07 15:02:42.395639
40,Osijek,Croatia,image/Osijek.png,2026-06-07 15:02:42.395639
41,Panathinaikos,Greece,image/Panathinaikos.png,2026-06-07 15:02:42.395639
42,Partizan,Serbia,image/Partizan.png,2026-06-07 15:02:42.395639
43,Port,Portugal,image/port.png,2026-06-07 15:02:42.395639
44,Psg,France,image/psg.png,2026-06-07 15:02:42.395639
45,Qarabag,Azerbaijan,image/Qarabag.png,2026-06-07 15:02:42.395639
46,Shakhtar_Donetsk,Ukraine,image/Shakhtar_Donetsk.png,2026-06-07 15:02:42.395639
47,Sheriff_Tiraspol,Moldova,image/Sheriff_Tiraspol.png,2026-06-07 15:02:42.395639
48,Slovan_Bratislava,Slovakia,image/Slovan_Bratislava.png,2026-06-07 15:02:42.395639
49,Sporting_CP,Portugal,image/Sporting_CP.png,2026-06-07 15:02:42.395639
50,Sydney_FC,Australia,image/Sydney_FC.png,2026-06-07 15:02:42.395639
51,TNS,Wales,image/TNS.png,2026-06-07 15:02:42.395639
52,Zenit,Russia,image/Zenit.png,2026-06-07 15:02:42.395639
